"session","created","modified","ended","expired","time13","yearOfBirth","gender","hispanic","ethnicity","people","employment_status","income","education","housing","own_rent","electric_bill","political_views","party","time14","feedback","time15","completionCode"
"2cIbyysCplUtkqPunduPRxbvFAG3MBUUpIpjjMZ7s3I8BysAK3ElM5wPB0y4dN-Y","2024-05-11 01:31:46","2024-05-11 01:36:06","2024-05-11 01:36:06","","2024-05-11 01:31:46","1957","Female","No","White","1","Disabled, not able to work.","Less than $15,000","Some college - but less than two years of college","Building with 5-19 apartments/condos/studios","2","$0 - $100","1","prefer_not_say","2024-05-11 01:33:41","","2024-05-11 01:33:53","474516"
"fsIiONGQgs-gsnj6hoYgl0aEsWu9tTka_w_15HMVjzJ-lL8NMhO4-XeJ1EMw3qWK","2024-05-11 02:32:53","2024-05-11 02:33:57","2024-05-11 02:33:57","","2024-05-11 02:32:53","2000","Male","Yes","White","2","Employed, working 40 or more hours per week.","$125,000 to less than $150,000","College graduate/bachelor's degree/B.A./B.S.","Single family house attached to one or more houses (townhouse, rowhome, condo, duplex, triplex, etc.)","2","$200 - $300","4","independent","2024-05-11 02:33:39","","2024-05-11 02:33:46","155450"
"ahnjuUyT_wSZYPzcQumuf4a4fZ5EK6IvyzjFrVXpPILU2kr-iSF0GK-GFF1MnEn4","2024-05-11 03:11:58","2024-05-11 03:14:40","2024-05-11 03:14:41","","2024-05-11 03:11:58","1946","Male","No","White","1","Retired.","$15,000 to less than $30,000","High school degree or equivalent (e.g. GED)","A mobile home or trailer","2","$100 - $200","2","republican","2024-05-11 03:13:39","I enjoyed the survey.","2024-05-11 03:14:24","348967"
"Os9Xu2JERoAkwZM2PRfCpUfAyrRTOFnYQvdWZJVvLoUWyhx6L_8y-inNCdv5-osC","2024-05-11 13:23:08","2024-05-11 13:24:21","2024-05-11 13:24:21","","2024-05-11 13:23:08","1959","Male","No","White","2","Employed, working 40 or more hours per week.","$250,000 or more","M.B.A. or law degree","Building with 20 or more apartments/condos/studios","2","$200 - $300","3","republican","2024-05-11 13:24:06","Thanks","2024-05-11 13:24:15","726179"
"4iXK4CZ-pBwMd3fDA3Ng-HABVGKLssBvjkchMXvFOxjMrudgRLDOrrysFXMBZTaB","2024-05-11 20:20:11","2024-05-11 20:22:07","2024-05-11 20:22:07","","2024-05-11 20:20:11","1978","Prefer not to answer","No","Do not know/prefer not to answer","2","Prefer not to answer","Prefer not to answer","Some college - but less than two years of college","Single family house not attached to any other house","1","$300 - $400","7","independent","2024-05-11 20:21:53","","2024-05-11 20:21:56","638069"
"qMdEpKzs-PyJR_VC19J-SjDepXamP0EeXvl8haMgEqxCPTPakcpuDZRCGw1Tic6a","2024-05-12 01:18:22","2024-05-12 01:22:27","2024-05-12 01:22:27","","2024-05-12 01:18:22","1952","Female","Yes","White","1","Retired.","$15,000 to less than $30,000","High school degree or equivalent (e.g. GED)","Single family house not attached to any other house","1","$100 - $200","3","democratic","2024-05-12 01:19:57","The most important thing about a new or used car you have to confident the car you purchase is reliable on the road and gas wise also because the gas prices are going up ","2024-05-12 01:22:01","752738"
"zcVBFeyw8Q4XnB4GMoIF66ubvWmZ7jszM8zHpB3gwnJ3yvBTVi4XVZdqixpRPcWj","2024-05-12 03:37:33","2024-05-12 03:38:40","2024-05-12 03:38:40","","2024-05-12 03:37:33","1962","Male","No","White","3","Retired.","$75,000 to less than $100,000","Technical or trade school","Single family house not attached to any other house","1","$100 - $200","2","republican","2024-05-12 03:38:23","","2024-05-12 03:38:33","334106"
"RyFdlkQ4WN4qq1kC7S1RhhChG8ouFtamV3wRW3FNZEc_g5E2O6QctOKJ_jNqnzzx","2024-05-12 22:19:24","2024-05-12 22:20:40","2024-05-12 22:20:40","","2024-05-12 22:19:24","1970","Female","No","Black or African American","3","Employed, working 40 or more hours per week.","$100,000 to less than $125,000","Master's degree","Single family house not attached to any other house","1","$300 - $400","3","democratic","2024-05-12 22:20:24","","2024-05-12 22:20:31","733170"
"1NKefu1T9kNDwrdUH3uLy2DkYu-hxGfrkXfr9JlFc28A09YnAZATqmmYV698Xtst","2024-05-13 00:32:16","2024-05-13 00:35:03","2024-05-13 00:35:04","","2024-05-13 00:32:18","1936","Male","No","White","2","Retired.","$30,000 to less than $40,000","Some college - but less than two years of college","Single family house not attached to any other house","1","$0 - $100","1","republican","2024-05-13 00:34:24","Ok","2024-05-13 00:34:56","740633"
"p0AkqZDp6cMi5XAdcWddNhg0vOCeZ8wu-s9BohZ_V9RE6G0hDegCqD0w3lkf7KbI","2024-05-13 03:37:25","2024-05-13 03:39:24","2024-05-13 03:39:24","","2024-05-13 03:37:25","1969","Female","No","White","1","Employed, working 1-39 hours per week.","$15,000 to less than $30,000","Some college - two years or more/A.A. degree","Building with 5-19 apartments/condos/studios","2","$0 - $100","6","democratic","2024-05-13 03:39:07","","2024-05-13 03:39:14","963529"
